sample	well	conc	GEF_conc	date	k_est	span1	f_plateau	span2	cutoff_time	back_signal	fit	linear_fit_fraction	intercept	deadtime	data_file
PE10_G80A	E4	1.75	5	20180904	0.006	2200	2700	525		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE10_G80A	E4	2	5	20180904	0.005	2000	1800	600		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE10_G80A	G1	2.25	5	20180904	0.005	2800	2800	675		exp	exp	0.15		0	data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G1	2.5	5	20180904	0.005	3300	3400	750		exp	exp	0.15		0	data/20180904_GEF_FRET_assay4.txt
PE10_G80A	G2	2.75	5	20180904	0.005	3400	3700	825		exp	exp	0.15		0	data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G2	3	5	20180904	0.004	3900	4300	900		exp	exp	0.15		0	data/20180904_GEF_FRET_assay4.txt
PE10_G80A	A6	3	5	20190110	0.0024	718	606	241		exp	exp	0.1	1566	0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	G3	3.25	5	20180904	0.005	4200	4800	975		exp	exp	0.15		0	data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G3	3.5	5	20180904	0.003	4700	5300	1050		exp	exp	0.15		0	data/20180904_GEF_FRET_assay4.txt
PE10_G80A	G4	4	5	20180904	0.0045	5000	7500	1200	1000	exp	exp	0.15		0	data/20180904_GEF_FRET_assay3.txt
PE10_G80A	G4	4.5	5	20180904	0.003	5800	7500	1350		exp	exp	0.15		0	data/20180904_GEF_FRET_assay4.txt
PE10_G80A	A1	5	5	20180904	0.003	5700	7000	1500		exp	exp	0.15		0	data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A7	5	5	20190110	0.0017	1145	1060	364		exp	lin	0.1	2570	0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	A1	5.5	5	20180904	0.003	5800	7000	1650		exp	exp	0.15		0	data/20180904_GEF_FRET_assay6.txt
PE10_G80A	A2	6	5	20180904	0.003	6800	9100	1800		exp	exp	0.15		0	data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A3	7	5	20180904	0.003	7600	11000	2100		exp	exp	0.15		0	data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A8	7	5	20190110	0.0013	1641	1785	323		exp	lin	0.1	3750	0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	A4	8	5	20180904	0.002	8900	13300	2400		exp	exp	0.15		0	data/20180904_GEF_FRET_assay5.txt
PE10_G80A	A2	9	5	20180904	0.002	8700	13500	2700		exp	exp	0.15		0	data/20180904_GEF_FRET_assay6.txt
PE10_G80A	A9	9	5	20190110	0.001	2110	2471	304		exp	lin	0.1	4886	0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	A3	10	5	20180904	0.002	9300	15700	3000		exp	exp	0.15		0	data/20180904_GEF_FRET_assay6.txt
PE10_G80A	A10	11	5	20190110	0.0009	2509	3125	208		exp	lin	0.1	5842	0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	A4	12	5	20180904	0.001	10000	21000	3600		exp	exp	0.15		0	data/20180904_GEF_FRET_assay6.txt
PE10_G80A	A11	13	5	20190110	0.007	1040	1040	1040		exp	lin	0.1	6600	0	data/20190110_GEF_FRET_assay4.txt
PE10_G80A	A12	15	5	20190110	0.007	1200	1200	1200		exp	lin	0.1	7850	0	data/20190110_GEF_FRET_assay4.txt
PE11_T34G	E5	0.25	5	20180904	0.01	125	480	75		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E5	0.5	5	20180904	0.07	320	700	150		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE11_T34G	E1	0.5	5	20190111	0.0165	53	64	59		exp	exp	0.1		0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	E6	0.75	5	20180904	0.07	550	1300	225		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E2	0.75	5	20190111	0.0146	94	98	87		exp	exp	0.1		0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	E6	1	5	20180904	0.016	640	630	300		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE11_T34G	E3	1	5	20190111	0.0135	150	134	126		exp	exp	0.1		0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	E7	1.25	5	20180904	0.02	1000	2200	375		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E7	1.5	5	20180904	0.015	1100	1600	450		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE11_T34G	E4	1.5	5	20190111	0.0108	220	191	174		exp	exp	0.1		0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	E8	1.75	5	20180904	0.02	1800	3200	525		exp	exp	0.15		0	data/20180904_GEF_FRET_assay2.txt
PE11_T34G	E8	2	5	20180904	0.01	1900	2500	600		exp	exp	0.15		0	data/20180904_GEF_FRET_assay.txt
PE11_T34G	E5	2	5	20190111	0.0088	320	285	240		exp	exp	0.1		0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	G5	2.25	5	20180904	0.01	2200	4200	675	1000	exp	exp	0.15		0	data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G5	2.5	5	20180904	0.01	2500	4695	750		exp	exp	0.15		0	data/20180904_GEF_FRET_assay4.txt
PE11_T34G	G6	2.75	5	20180904	0.01	3000	5500	825		exp	exp	0.15		0	data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G6	3	5	20180904	0.008	3000	5800	900		exp	exp	0.15		0	data/20180904_GEF_FRET_assay4.txt
PE11_T34G	G7	3.25	5	20180904	0.007	3000	6500	975		exp	exp	0.15		0	data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G7	3.5	5	20180904	0.007	4000	6573	1050		exp	exp	0.15		0	data/20180904_GEF_FRET_assay4.txt
PE11_T34G	G8	4	5	20180904	0.007	3200	7900	1200		exp	exp	0.15		0	data/20180904_GEF_FRET_assay3.txt
PE11_T34G	G8	4.5	5	20180904	0.007	4500	8900	1350		exp	exp	0.15		0	data/20180904_GEF_FRET_assay4.txt
PE11_T34G	A5	5	5	20180904	0.006	4600	7700	1500		exp	exp	0.15		0	data/20180904_GEF_FRET_assay5.txt
PE11_T34G	E6	5	5	20190111	0.005	878	811	591		exp	exp	0.1		0	data/20190111_GEF_FRET_assay.txt
PE11_T34G	A5	5.5	5	20180904	0.006	5100	7200	1650		exp	exp	0.15		0	data/20180904_GEF_FRET_assay6.txt
