Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage
YKL104C	F58A	-2.2435969837608	0.795612386287211	-2.81996236161019	36	0.0077620276488779	0.0561254306918864	NA	0.771428571428571	0.680519480519481
YKL106W	F58A	1.80485206705884	1.03276510430272	1.74759203185646	24	0.0933196645994459	0.29240161574493	NA	0.96952380952381	0.510476190476191
YKR025W	F58A	0.317585031715898	0.866649416085818	0.366451561405598	32	0.716440036140126	0.91007247834016	NA	0.75187969924812	0.541353383458647
YKR026C	F58A	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.946428571428571	0.214285714285714
YLL021W	F58A	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.946428571428571	0.125
YLL034C	F58A	-2.55226431735031	0.68934017019237	-3.70247437725567	36	0.000711233708777126	0.00880930994347373	NA	0.82903981264637	0.583138173302108
YLL040C	F58A	-2.52323598847128	0.461436378769687	-5.46822076577253	35	3.88138294660223e-06	0.000121616665660203	NA	0.819241982507289	0.65597667638484
YLR032W	F58A	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.982142857142857	0.107142857142857
YLR048W	F58A	-2.35548821162833	0.782561596513427	-3.00997163945025	30	0.00525636299168042	0.0411748434348299	NA	0	0
YLR060W	F58A	-3.02658370902606	0.803391945632713	-3.76725672379311	29	0.000749728505827552	0.00880930994347373	NA	0.791666666666667	0.446428571428571
YLR071C	F58A	-0.298784848733272	0.769532336698077	-0.388268087622287	17	0.702636898103455	0.904765320845544	NA	0.923809523809524	0.380952380952381
YLR104W	F58A	-1.36463502642139	1.19893053600596	-1.13821025108547	17	0.270819911524433	0.592024922867364	NA	0.857142857142857	0.163265306122449
YLR106C	F58A	-3.17089368163877	0.419060128261651	-7.56667949965153	36	6.01388272514214e-09	5.65304976163361e-07	NA	0.792705167173252	0.690577507598784
YLR196W	F58A	-1.18243743086585	0.879001696340749	-1.34520494759941	28	0.189353528506129	0.453435125058369	NA	0.857142857142857	0.392857142857143
YLR243W	F58A	-2.54737153536072	0.529135775674362	-4.81421149820043	36	2.6470883118801e-05	0.000622065753291823	NA	0.698412698412698	0.698412698412698
YLR249W	F58A	-2.68212221927228	0.46561876421693	-5.76033962845769	36	1.45307121934835e-06	6.82943473093722e-05	NA	0.619492656875834	0.535380507343124
YLR259C	F58A	-1.43361677241828	0.758030860548867	-1.89123800498074	36	0.0666604102652633	0.226774397042531	NA	0.714285714285714	0.696741854636591
YLR293C	F58A	0.593948443013959	0.406415264685216	1.46143241808104	36	0.152571290354874	0.428457219082356	NA	0.494897959183674	0.41156462585034
YLR301W	F58A	-2.76123450267624	1.12246670015646	-2.45997008400458	16	0.0256554206735697	0.114838549681693	NA	0.685714285714286	0.257142857142857
YLR304C	F58A	-1.91952231873758	1.33664503433309	-1.43607485116294	28	0.162060213818959	0.43298802326474	NA	0.910299003322259	0.667774086378738
YLR314C	F58A	-1.10821687286207	0.768989199380178	-1.44113450976336	19	0.165825200399262	0.43298802326474	NA	0.9	0.385714285714286
YLR347C	F58A	-2.30758947957225	0.563043116565004	-4.09842410231445	36	0.000225980052221519	0.00354035415147047	NA	0.462776659959759	0.420523138832998
YLR397C	F58A	-1.68500170740798	0.525034229255792	-3.20931781875705	33	0.00295933905521939	0.0278177871190623	NA	0.8996138996139	0.640926640926641
YML041C	F58A	-0.210090628742982	1.20637115937098	-0.174150904645736	4	0.870205576497301	0.951154932450538	NA	0.892857142857143	0.107142857142857
YML085C	F58A	-0.224232931277817	0.817442793733152	-0.274310242865773	36	0.785414190841349	0.914783395452225	NA	0.615384615384615	0.461538461538462
YML124C	F58A	-1.19811107505865	0.818309393920754	-1.4641296848838	36	0.151836845300506	0.428457219082356	NA	0.680272108843537	0.585034013605442
YMR039C	F58A	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.952380952380952	0.0476190476190476
YMR083W	F58A	-0.897972100995773	1.22777014964418	-0.731384535823758	25	0.471344707477453	0.793259951148154	NA	0.871428571428571	0.585714285714286
YMR157C	F58A	0.340506995790822	1.40445953049226	0.242446997153043	24	0.810493726724554	0.914783395452225	NA	0.914285714285714	0.257142857142857
YMR185W	F58A	-0.890323610469456	0.971906408450412	-0.916058997788655	14	0.375145983147263	0.705274448316854	NA	0.897959183673469	0.510204081632653
YMR214W	F58A	-2.06960951668329	0.765838097966058	-2.7024112827239	35	0.010545779257229	0.0619564531362203	NA	0.763392857142857	0.513392857142857
YMR235C	F58A	2.02019789737346	0.925484713282797	2.18285388011174	36	0.0356498416818458	0.139628546587229	NA	0.647749510763209	0.60665362035225
YMR308C	F58A	-0.39678217014608	0.607911384309134	-0.652697383841571	36	0.518097973350657	0.793259951148154	NA	0.339578454332553	0.2903981264637
YMR318C	F58A	-0.117210917925034	1.5760575620006	-0.0743696935638883	23	0.941359266536625	0.98151064225745	NA	0.732142857142857	0.446428571428571
YNL007C	F58A	-0.382041367909811	0.571115103638841	-0.668939352987947	30	0.508649534910918	0.793259951148154	NA	0.904761904761905	0.420634920634921
YNL014W	F58A	-2.24210262490185	0.786072212281585	-2.85228582040079	22	0.00926411903743296	0.0580551459679132	NA	0.285714285714286	0
YNL032W	F58A	-0.484997204700559	0.95395024895119	-0.508409327670687	19	0.617018670257058	0.840576159480629	NA	0.909090909090909	0.623376623376623
YNL037C	F58A	0.388048653393112	1.54206058159564	0.251642936746092	31	0.802977846456451	0.914783395452225	NA	0.954887218045113	0.443609022556391
YNL099C	F58A	0.0750812619503879	0.629738533751746	0.119226088171994	10	0.907457390243948	0.970305660203051	NA	0.974025974025974	0.207792207792208
YNL134C	F58A	1.3210478918291	1.3314442123666	0.992191696474449	25	0.330610809433763	0.675596001886385	NA	0.873015873015873	0.468253968253968
YNL141W	F58A	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.909090909090909	0.337662337662338
YNL262W	F58A	0.379733576792465	1.25908123563254	0.301595771619687	17	0.766618362977034	0.914783395452225	NA	0.821428571428571	0.25
YOL038W	F58A	0.00339946324866872	1.08629429590538	0.00312941277652149	34	0.997521383700791	0.997521383700791	NA	0.857142857142857	0.480519480519481
YOL098C	F58A	-1.44282384490042	1.08249132289818	-1.3328733583171	29	0.192951117046114	0.453435125058369	NA	0.803174603174603	0.526984126984127
YOR027W	F58A	-Inf	NA	NA	NA	NA	0	oneConditionMissing	0.982142857142857	0.0535714285714286
